timestamp,Warm_Up_Duration (minutes),4AM SpaceTemp,4AM OaTemp,4AM HwsTemp,Day_of_Week
2024-01-01,0,64.0,24.09,153.29,0
2024-01-02,115,64.42,16.45,157.97,1
2024-01-03,120,64.98,31.13,144.69,2
2024-01-04,75,64.65,18.08,161.92,3
2024-01-05,100,65.0,21.57,157.07,4
2024-01-06,0,65.34,32.42,142.18,5
2024-01-07,0,64.28,28.76,142.06,6
2024-01-08,90,64.04,22.76,154.43,0
2024-01-09,105,65.06,34.21,144.55,1
2024-01-10,105,64.53,28.86,147.38,2
2024-01-11,105,65.46,24.96,152.95,3
2024-01-12,105,65.32,24.47,152.94,4
2024-01-13,0,63.86,17.66,153.26,5
2024-01-14,0,63.83,-17.45,176.15,6
2024-01-15,0,64.13,-17.95,176.98,0
2024-01-16,100,64.01,-19.69,175.14,1
2024-01-17,70,64.18,-12.15,177.64,2
2024-01-18,55,63.92,-1.38,173.77,3
