timestamp,Warm_Up_Duration (minutes),4AM SpaceTemp,4AM OaTemp,4AM HwsTemp,Day_of_Week
2023-12-24,0,64.98,48.3,109.57,6
2023-12-25,0,65.15,51.23,109.48,0
2023-12-26,230,64.79,41.4,125.44,1
2023-12-27,185,65.36,34.07,144.55,2
2023-12-28,230,64.55,31.82,138.57,3
2023-12-29,180,64.96,32.45,141.08,4
2023-12-30,0,65.17,20.18,161.86,5
2023-12-31,0,64.0,26.32,146.0,6
2024-01-01,0,64.0,24.09,153.29,0
2024-01-02,115,64.42,16.45,157.97,1
2024-01-03,120,64.98,31.13,144.69,2
2024-01-04,80,64.65,18.08,161.92,3
2024-01-05,100,65.0,21.57,157.07,4
2024-01-06,0,65.34,32.42,142.18,5
2024-01-07,0,64.28,28.76,142.06,6
2024-01-08,90,64.04,22.76,154.43,0
2024-01-09,105,65.06,34.21,144.55,1
2024-01-10,105,64.53,28.86,147.38,2
2024-01-11,105,65.46,24.96,152.95,3
2024-01-12,105,65.32,24.47,152.94,4
2024-01-13,0,63.86,17.66,153.26,5
2024-01-14,0,63.83,-17.45,176.15,6
2024-01-15,0,64.13,-17.95,176.98,0
2024-01-16,100,64.01,-19.69,175.14,1
2024-01-17,70,64.18,-12.15,177.64,2
2024-01-18,55,63.92,-1.38,173.77,3
2024-01-19,90,63.86,-6.38,173.8,4
2024-01-20,0,64.02,-11.06,175.66,5
2024-01-21,0,64.04,-10.39,172.92,6
2024-01-22,70,64.13,15.82,162.58,0
2024-01-23,90,65.23,33.14,144.21,1
2024-01-24,90,65.39,35.38,143.61,2
2024-01-25,85,65.49,36.19,141.68,3
2024-01-26,100,65.54,36.33,136.1,4
2024-01-27,0,65.42,36.28,141.14,5
2024-01-28,0,64.48,34.61,141.56,6
2024-01-29,90,63.67,25.75,144.18,0
2024-01-30,150,65.44,38.1,128.36,1
2024-01-31,140,65.44,35.64,137.28,2
2024-02-01,115,65.59,34.44,147.4,3
2024-02-02,145,65.09,29.85,143.36,4
2024-02-03,0,65.65,34.36,141.83,5
2024-02-04,0,64.57,27.29,145.16,6
2024-02-05,100,63.98,20.11,161.53,0
2024-02-06,75,64.94,24.85,152.96,1
2024-02-07,90,65.34,31.96,144.18,2
2024-02-08,110,65.99,42.64,127.16,3
2024-02-09,205,66.23,38.37,136.08,4
2024-02-10,0,64.9,28.39,146.19,5
2024-02-11,0,64.07,25.0,151.11,6
2024-02-12,45,64.44,18.89,164.43,0
2024-02-13,40,64.51,25.65,151.5,1
2024-02-14,30,64.42,20.19,160.47,2
2024-02-15,45,64.98,35.78,142.0,3
2024-02-16,60,64.14,20.22,161.07,4
2024-02-17,0,64.15,-2.34,176.74,5
2024-02-18,0,63.93,15.4,161.1,6
2024-02-19,25,64.26,15.92,164.89,0
2024-02-20,55,64.71,27.0,156.61,1
2024-02-21,70,65.0,45.58,133.94,2
2024-02-22,45,64.96,38.37,142.73,3
2024-02-23,50,64.77,37.15,140.18,4
2024-02-24,0,64.28,4.51,174.02,5
2024-02-25,0,63.96,31.82,144.49,6
2024-02-26,50,64.08,34.15,151.32,0
2024-02-27,60,64.81,50.33,78.19,1
2024-02-28,230,64.56,9.1,163.9,2
2024-02-29,45,64.12,7.42,170.98,3
2024-03-01,55,65.11,35.16,142.52,4
